"","Username","Tweet","V1"
"11","areitu","scruff jasiripard adds to the rubsnugnoses let us chirp at things smileetiger you d probably make a pretty deceit otters fit fun fun and snuggly rt rikoshi princess leia is now one of the disney princesses kinney coyote so the driveshaft is pushed up at the wrong angle and it destroyed the diff a little confused kinney coyote so the driveshaft kerploded or something kinney coyote text me your paypal i ll send it asap smileetiger maliepono eating is of chee warrioryote rufus wolf hugs i hope i might be one of them keovi pugsnort triggur i have the exact same problem breakbot i used to work across the street from there now i m a couple miles up the better of a vacation or weekend you have the bigger the crisis is when you get back to work forneuslex wolfwithdances nah that s some poor people stuff behold spykepine dora explores tattooine maybe they should have pixar do the next star wars holiday special chazzzles omgomg which part of ca otterlot xion derkavious i most certainly would hugsboth chazzzles i m heading up there soon too we can prance around in a meadow do you need roommates x smileetiger emergency cheetah delivery service","anxious"
"12","AsMomSeesIt","pandaontherocks wendys a hamburger a toy and fries this was just cold fries pandaontherocks wendys not really said they d try and mail me something unless i wanted to come back that day rt drjenshewmaker media amp kidsdaily is out top stories today via asmomseesit bigpictureid rfsuperiorskin i gave waystosave k about blogging on klout i gave gameonmom k about social media on klout i gave tonipatton k about disney on klout i gave homemom k about social media on klout i gave couponawaydebt k about parenting on klout i gave mommye k about blogging on klout please vote for this entry in moms celebrates the th i gave blm k about blogging on klout new post free birds this thanksgiving for the whole family free birds this thanksgiving for the whole family movie when disney and technology combines fun happens with ekids via asmomseesit since the new transformers is filming down the street from me should they need an official blogger for shoots i m on board justsayin rt blogher wondering who will be at blogher attendees who provided their twitter handles are all listed here new post enter to win cash from enter to win cash from sweepstakes as mom sees it today is out top stories today via ramblesahm tasalinas katespadeny woo hoo i ll be driving a new toyota camera hybrid to blogher so excited to drive my first hybrid car thanks toyota sweetride","not anxious"
"13","AtownCY","i already checked into the crown royal hotel guy getting arrested for public intox the moa would you like your receipt printed emailed or both that s a first thrillcat nordstroms thrillcat jrcy i never knew that about the apple store good way to get email addresses and go green at the same time rt jociekay bellying up to the bar in minnesota with atowncy getting ready to play bl i n g o this should be interesting sitting at the bar with other cyclones in minny always good love bars restaurants that will call you a cab instantdd just saw the game times the first time hey cbs tnt tbs trutv what happened to the a game starts every min talk liars thieves regardless i m pumped for the games on channels championship week had almost become better because of so many games on dif channels car was dead but a local minnesotan helped us out thankyousir rt jwabc uab should be playing on falsetv no we haven t been drinking well we split a pack of s rt jimrome the first four is one of the worst ideas ever it didn t improve the best event in sports it made it worse the tourname rt sportspickle it s beautiful outside even though it s the first day of the tournament i m tempted to go on a hike no not really double holiday today omg wow what does it mean woooa double holiday take out your remote and have control great if i can turn to whatever game i want do i really need the scores taking up the top half of tv love the new tv format for march madness rt jociekay let the madness begin atowncy set this up hah how is morehead not trending yet haverhill they re going to upset the master perv","not anxious"
"14","AustinRogers78","rt hollandhawks georgemarkos yes the grizz will be grinding hard tonight okcblows made leadership university rt eeelzz z bo gt blake griffin z bo and marc gasol are doing work reggie evans is such a flopper i love that foul by marc mo sepights mospeights the clippers sure are good at flopping rt rachelcarson kid cudi gt gt gt gt gt gt the clippers cry like little girls tyler g only when he actually gets fouled and he looks like a man when he does it chris paul looks like a smurf dang it i wanted him hurt see you sunday in the grindhouse jopatt looks like i get to live another day made some serious mistakes this past week praying the people i ve harmed find the power to forgive me rt aag blessed thank u farther god those days were you re in a good mood for no reason gt gt gt gt gt kkilburn yeah i got them rt boss parker can t believe the jackson sun would post that ridiculou","not anxious"
"15","avolosk","looking through the new structure for the men s rowing junior national team the fact that it s based in pittsburgh now is really exciting danabergs someone s catfishing and using you dragonflyjonez anchorman quotes are applicable in so many situations this was me to manti te o last night ramsasaurus rex siegalicious if the bottom of the pockets are showing take a few more inches off ballshorts so i was facebook stalking and saw that sunsetrearview went to groton that sucks sunsetrearview no but my high school rowing coach went to exeter and for some reason instilled a hate for groton in all of us sunsetrearview there are a couple kids on the rowing team at school from groton they re good guys so i ll let it slide rt adamschefter as of et cardinals dc ray horton still waiting for call to inform him arizona has hired bruce arians how the fu that was minutes ago marialycouris don t do it that season is abysmal marialycouris the fact that it s abysmal can be directly attributed to him and his character both of e s assistants are sooooo fine but that british girl gt gt gt gt nicholsaccomp dawg when you finish and look at your phone to see if you have any texts from your girl s but of course you don t mannnn nicholsaccomp one is the loneliest fuckin number clinton sparks idkurname ft mike posner video clintonsparks sunsetrearview what site is the deadspin of music writing you guys might wanna mute me for the next hour i mma live tweet the shit out of suits i don t like mike s new girlfriend wait isn t this broad married go with rachel jackass i like zoe","anxious"
"16","Beyonckay","i have a long busy week i really need to rest attention fb friends all alabama bass trail apparel has been discounted long sleeve ts short sleeve ts rt bass nation g man on logan martin elite standout gerald swindle learned the bass fishing fundamentals on alabama s logan taking jake to his middle school football meeting i am not sure i am up for this i posted a new photo to facebook so thankful for speaker mike hubbard and the house of representatives for the gleaming resolutions recognizing and i have plenty of things to work on now lol like i needed a little more to the old man at lowes behind me this morning as i was getting air conditioner filters who i thanked for being i am so blessed with good friends that will be here in a pinch thanks jimbo from jj s heating and cooling for my habitat restore project it s done if i wasn t so terrified of storms i would take a nap this is semi good nap weather i am so glad the storms are over and i can now nap kyledpike happy birthday kyle jleefishing coca cola right everything i have is tired i posted a new photo to facebook i can t wait to see taylor martin perform in you can t take it with you tonight at wallace state yes it s saturday and i am up at ugh i am so ready for a pedicure congrats decatur al i was in chic fil a earlier and there were soccer teams from oh tn tx ms al and mi why oh why do people bring their kids under the age of to the nail salon really this isn t chuckee cheese","not anxious"
"17","BfloBizECarey","rt talkingproud help us get to followers and this buffalo puzzle could be yours follow and rt to enter talkingproud ht rt claudinewgrz this afternoon niagara ceramics was listed on the nys labor dept warn list indicating that the plant will close wgrz rt bflobizfirst year old chef s italian restaurant is our sparkspotlight brought to you socially by capitalonespark rt rockbuffalo bills fans who wore aaron hernandez orange jumpsuits to yeterday s game are getting lots of national press talkingproud as i rt for you just noticed i have exactly followers need to hit chrisrgallant lol so glad i saw your name on twitter i hope things are going well trying a new approach to my laryngitis today health food store for all natural remedies wishmeluck rt bflobizfirst work could soon resume on canals at old aud site rt bflobizfirst unilanddevco to unveil million downtown project rt lauramandaro biggest gainer after hours is a teen retailer that specializes in neon headphones five pvh pby pawn what a great day slept til got the kids off to school amp worked a dayshift i could get used to this rt seaworld we re now caring for the nd manatee brought to us in a week for rehabilitation full story on the rescued calf here baccarudaray that s one remedy i haven t tried worthashot lord gow hey positive thinking please low sodium i love sodium words spoken in my kitchen tonight lol spongmg espnmondaynight you had me at guinness nick stutzman they always do it right rachelelzufon i was just thinking the same thing waterfrontkeuka keukalake so jealous wish i was there i ve been sick since we left think it s withdrawal hope to get back in sept rt joannapasceri so impressed with pope francis great story from danbharris callmepontiff","not anxious"
"18","biebsandflores","rt alfredoflores on the ski lift and guess who i see everyone is at the fair lacountyfair happy birthday iamjulkeyz have a good one chowin down on this chicken alfredo rt mindlessbhavior at the cb concert he s killin right now prodigy i would flip the fack out if i ever met thatrygood dubsteeeep jam sesh yo rt alfredoflores happy birthday iamjulkeyz one of the funniest kids around town send him some birthday love everybody rt alfredoflores i just heard this girl say if stress burned calories i d be a supermodel rt alfredoflores snki it s still early the day is what you make it turn it around right now let me see that smile rt alfredoflores feels so good to know that of the to do list was just completed as the jersey shore marathon played in the back johnsonthesnake follow back johnson sssss boys are so damn confusiiiingggg rt jonboogiee me and selenagomez up high from the screen taken by the one and only ferenchak jonboogiee waddddup jonanthon best day of my life thank you alfredoflores i am so proud of demil lavato she s come a long way for the love of a daughter so tired nikkkki today maybz sleeps until christmas rt lyfebelieber it s hard seeing friends on here since school started rt smileforbieb i was about to change my password to bieberconda but twitter wouldn t let me because it s too long","not anxious"
"19","BKells8","nightline my iconic summertime song is will smith s summertime nightline must properly give credit where credit is due dj jazzy jeff and fresh prince summertime dj jazzy jeff amp the fresh prince summertime via youtube rt indiaarie love to all soulbirdsworldwide rt roxanamjones keep some room in your heart for the unimaginable mary oliver rt abcwnn take a look at our amazing dog pictures from our wnnfans family rt jedm grateful rt timedpic looks like the squirrel reading a newspaper haha abcwnn johnmullertv dianapereztv abc luv the segment on danny many gave so that danny could see mankind never ceases to amaze rt gma good morning america rt gma syria s foreign minister says his country will defend itself using all means available in case of a u s strike rt gma john kerry syria s guilt in chemical attack clear to the world rt gma john kerry indicated the obama administration intends to hold the syrian regime accountable for a chemical attack he called unden evargasabc hope you feel better soon chia tea is a good remedy too gma it is degrees with a high of rt funjoke worst feeling in the world is knowing you did the best you could and it still wasn t good enough gma i think that it was too much now days some of the music award shows ate pushing the shock and awe button vma gma good morning where s my manners rt funjoke life is weird you can go from being strangers to being friends to being more than friends to being pratically strangers a rt abcworldnews watch pedestrian deaths are on the rise and linked to walking and texting especially among teen","not anxious"
"20","bobaloo0","stop shower time raniemae you made it i m it stressedkiki good morning sunshine stressedkiki hope you have a good day today x stressedkiki you always do i break for coffee in the usual way happiness is a warm blowjob stefeenew morning stef it s back to my cell now raniemae happy to help lunch which is the high point of the work day begins i retweeted myself lunch will be over shortly and the beat uh meeting begins niki it was accidental i mean it s time to dead man walk back to my cell uh desk if i were asian i d want to be named hung then at least i wouldn t be kidding if i said hello i m hung jendidthis i m running out of material x missy molly mol lipstick buzzcocks leahcomm i think i ve lost it i get all this french spam in my email box i hate it","not anxious"
"21","BobRotruck","seanc wellwood gustafsson bourdon and maybe rinaldo or even schenn courturier i think has to clear waivers though so no way itsafez i liked monty python a lot too but that just didn t grab me uh oh at what i m reading about the media conferences of the two sides not good some describe it as finger pointing has begun i had optimism going in but those who are there believe lockout more and more likely still they aren t actually inside maybe still time still to answer the most common question we get all the time a lockout will not do anything to our season in the ahl travisjbaker it will have some impact on our roster i believe some guys who would be up with philly can get sent to adk so they can play rt reds with pirates loss to dodgers the reds game lead is their biggest of the season and the biggest lead in baseball right now no idea what s happening with the nhl but we ve got ahl hockey beginning october and at pm we will have our official schedule some highlights of phantoms schedule for me first ever trip to st john s in october probably beats going there in january i m guessing another game in atlantic city as well as philly will be fun as well at home that thanksgiving stretch of home games will be huge hershey comes to gf last weekend of season finish off at albany which could be exciting really like how schedule worked out that am game at manchester in november can t say i m overjoyed with that one i m not a morning person probably will have fun anyway sherrydarlingnj what do you mean terrible keanu reeves is the freaking goalie therefore it s awesome okay it s shave time flyersnation psphantoms hashtag we are beginnig to implement is adkphantoms feel free to join in i need to remember to do that as well psphantoms how quickly they move away from the old habits albany river rats psphantoms i think i almost made the same mistake pretty used to typing devils pretty much every time i mention albany pretty cool news about scott munroe here he s a good guy and from what little i saw of him last year still has it as a quality goalie i assume that cal heeter is likely earmarked for trenton of the echl to begin the season but things changes injuries happen etc good to have a goalie developing in the echl i think it s a quality league that has developed a lot of good players especially goalies goalies who developed in echl tim thomas tomas vokoun mike smith jonathon quick braden holtby brad thieseen ahl goalie of year","not anxious"
"22","bullsfan531","rt bigboss bullsfan you gotta make a sign awww i see you aint maaaaaaannnnn enough huh rt djeivo teamfollowback rt skyking as long as you ve got passion faith and are willing to work hard you can do anything you want in this life this is chi rt deeivox thanks bullsfan d rt lijurajan swirsk nothing summarizes the differences between lebron and dwade more than their reactions to drose rt chicagohours scottie pippen s letter to the chicago bulls is inspiring heartfelt and needless yahoo sports blog rt deeivox bullsfan jajajaja thanks for recommend me rt mrossletters every place in the globe where iran is meddling they should be engaged and in as devastating a manner as possible rt therightsarah so barackobama are you ineligible for your office or were you just lying to sell books amp get foreign aid for s rt bibireport netanyahu jerusalem is the heart of the jewish people and it will not be divided jerusalemday rt durantupdate tnt s barkley predicts spurs will win th nba title rt mrossletters lebanese military is more than tacitly supporting the assad regime and cracking down on supporters of the syrian oppo","not anxious"
"23","catrides","oubad wow looooove it donniesdancer braveheart great picture jordanknight yeah but can it ride a piano bicycle confetti explsion jordanknight jk s red room of pain shades sweatrmonkeygal boooooo and the weekend was going so well just like monday to come along amp f it up donniesdancer frankjhughes i watched leave last night for fjh s birthday whoa so good amp i was not in the know til almost the very end tmh was just about to ask how it went glad to hear you enjoyed it hope you continue to like it there donniesdancer frankjhughes was just thinking i should do that amp encourage everyone i know to see it amazeballs on the screenplay donniesdancer i will find marinara sauce if you fling the toasteds por favor y gracias frankjhughes no no no a deep wayne amp garth i m not worthy bow to you made me wonder amp want to ask amp say so much more powerful donniesdancer just got home from mtg at church dips st ravioli nummyriffic yikes yes i knew i could count on you maria thanks amesinatlanta yeah a pinch right poor baby workin so hard jennpuffer i don wanna put my winter coat on stomps foot kicks frozen leaves rt extratv we re giving away magicmike on blu ray amp dvd follow extratv and rt this message to enter rules more nights amp it s dinner amp pm showing of breaking dawn p with kdubluvsjmac yaaaay rt frankjhughes we are loving all the photos w the dvd s u r sending no dvd take a pic next ur pc screen thanks all the support frankjhughes g morning sunshine hey is leave on netflix gotta get my sibs to watch it too plus make sure i give reviews all over rt kdubluvsjmac tomorrow starts the mcintyre boys bday project benefitting masseyeandear walkforhunger italianhome all to help h rt thatericalper music is that rug i sweep my feelings under","not anxious"
"24","CenturyLLC","did you know we now have a blog with all kinds of cleaning tips and ideas check it out cleaningtips same to you baldguyclean guestsupply enviroweezy earthrenew cleaning buzz good green cleaning ideas rt huffpostgreen ways to replace your household cleaning products happy tuesday new follower hygienegurusa please also like us on facebook for more cleaningtips reduce the spread of germs with four simple steps tiptuesday cleaningtips thanks for the rt cleaner world hope you re having a great tuesday we re just a few days away from our big warehouse clearance sale great cleaning products for low low prices keeping gyms clean is vital rt rocklineeurope without state regulations gym owners fight germs germs gym always great tips rt staintalk tricks to get your house sparkling in record time via realsimple tips of course rocklineeurope germs hide everywhere make sure to clean them rt janitor mag germ hot spots you aren t cleaning we have several great new followers today triadstuff cleanexservices and pfafftownnc have a great wednesday more great tips rt baldguyclean fitness equipment cleaning learnclean cleaning keep your kitchen clean to prevent food poisioning guest blog post via hstofficial cleaningtips good outdoor cleaning info rt staintalk howto clean all weather cushions timeforsummer fast cleaningtip great idea rt chefproknives remove light stains from sinks with fresh cut lemon kitchentips greencleaning mt thecleanspot vinegar can be a great cleaning tool for the home but to neutralize strong odor add a litte lemon juice or orange oil rt baldguyclean quick fixes for restroom odors learnclean cleaning warehouse clearance sale tomorrow high quality cleaning supplies please share gsochamber larice chamber go triad warehouse clearance sale tomorrow high quality cleaning supplies please share greensborocity linkinggso cm gree","not anxious"
"25","ChackoBeast","dailythunder kd amp former spurs amp quad city thunder s george the iceman gervin think we ll see him in sa nbaontnt kd amp nba legend george the iceman gervin make this happen losing avery bradley is gonna be a huge loss vs the heat beattheheat chant sounds almost as beautiful as beatla rt menshumor ever notice how men insult each other and don t really mean it and women compliment each other and don t really mean it rt dailythunder scott brooks admitted to being nervous at shootaround saying if you re not nervous then you don t care djnguyen respect espn firsttake stephenasmith filibuster do whatever it takes to keep skip from spewing his irrational hateful opinions about lebron hquazil did you even do any of the work i ll have to remember to share my new view once i get back and move in rt arianfoster nfl refs are wonderful human beings and are great at what they do not like those nba guys thunderobsessed quit playing with our emotions elements have you noticed that most mac users expect quicktime to play everything i ve now introduced vlc to mac users haha damn i don t know who to trust thunderstats or thunderobsessed dailythunder are you gonna give sir charles a tour of okc this week when he gets here nbaontnt don t worry chuck like seattle there ll be a few here in okc that ll make you think your name is charles barkley sucks bouncex he s a great defender against all big men already has one block on a duncan shot dailythunder popovich vs brooks reminds me of the coaches from waterboy with brooks being coach klein dailythunder it s nice to see someone else thought cook could play big mins instead of fisher sef in the th tonight dailythunder also i thought it was worthy of mentioning that russ had turnovers tonight perk of the team s hquazil th","not anxious"
"26","charlesornstein","nurse practitioner investigated for numerous narcotic prescriptions duluth news tribune via b stahl three health investigations worth a read hurray nyc public advocate investigating city agencies slow responses to state foi law opengov cujskills sounds baseless the latimes sued for wiretapping via fishbowlla rt bizjournalism tips to investigate lawmakers pensions from usa today s tom frank dear health reporters with gaddafi s death aco regs probably won t get much play rt sarahkliff acoverwhelmed pages of regulation but important for wonks rt scotthensley let s be honest aco changes wouldn t be big news most days for a general audience sarahkliff health care quality improvement there s an app for that via commonwealthfnd marcosrogerio what do you mean sethmnookin thanks worth a read rt klomangino the harms of indiscriminate testing for food allergies my latest post healthnewsrevu rt tracyweber how troubled banks got tarp millions despite red flags mariancw paulkiel propublica citizen media law project health reporters unite how one doctor s complaint turned a public database private marco rubio s compelling family story embellishes facts documents show via washingtonpost cujskills rt judith graham cbs minutes on steve jobs refusal of treatment for pancreatic cancer rt pibuzz search by name for home address in illinois comptroller database of people to whom payments are due mt ahcj pia atlanta journos implementing health reform in states nov hosted by ahcj allhealthreform rwjf rt markzbarabak my tea w khaddafi the lat s great former middle east correspondent kimmurphy reminisces it s friday please help me recognize health stories worthy of recognition from the past week use the hashtag healthnewsgems rt newshour patients doctors face tough questions amid changes in prostate cancer screening","not anxious"
